GeneID	Chr	Start	End	Strand	Length	GeneSymbol	EnsID	EnsID_short
ENSMUSG00000051951.5_Xkr4	chr1	3205901	3671498	-	6094	Xkr4	ENSMUSG00000051951.5	ENSMUSG00000051951
ENSMUSG00000025900.12_Rp1	chr1	3999557	4409241	-	12311	Rp1	ENSMUSG00000025900.12	ENSMUSG00000025900
ENSMUSG00000025902.13_Sox17	chr1	4490931	4496757	-	4772	Sox17	ENSMUSG00000025902.13	ENSMUSG00000025902
ENSMUSG00000033845.13_Mrpl15	chr1	4773206	4785710	-	8487	Mrpl15	ENSMUSG00000033845.13	ENSMUSG00000033845
ENSMUSG00000025903.14_Lypla1	chr1	4807788	4848410	+	7145	Lypla1	ENSMUSG00000025903.14	ENSMUSG00000025903
ENSMUSG00000104217.1_Gm37988	chr1	4807892	4886770	+	825	Gm37988	ENSMUSG00000104217.1	ENSMUSG00000104217
ENSMUSG00000033813.15_Tcea1	chr1	4857814	4897905	+	3017	Tcea1	ENSMUSG00000033813.15	ENSMUSG00000033813
ENSMUSG00000002459.17_Rgs20	chr1	4909576	5070285	-	4239	Rgs20	ENSMUSG00000002459.17	ENSMUSG00000002459
ENSMUSG00000033793.12_Atp6v1h	chr1	5070018	5162340	+	9746	Atp6v1h	ENSMUSG00000033793.12	ENSMUSG00000033793
ENSMUSG00000025905.13_Oprk1	chr1	5588466	5606131	+	9151	Oprk1	ENSMUSG00000025905.13	ENSMUSG00000025905
ENSMUSG00000033774.4_Npbwr1	chr1	5913707	5917398	-	3692	Npbwr1	ENSMUSG00000033774.4	ENSMUSG00000033774
ENSMUSG00000025907.14_Rb1cc1	chr1	6206197	6276648	+	14690	Rb1cc1	ENSMUSG00000025907.14	ENSMUSG00000025907
ENSMUSG00000087247.3_Fam150a	chr1	6359218	6394731	+	971	Fam150a	ENSMUSG00000087247.3	ENSMUSG00000087247
ENSMUSG00000033740.17_St18	chr1	6487231	6859604	+	6464	St18	ENSMUSG00000033740.17	ENSMUSG00000033740
ENSMUSG00000051285.17_Pcmtd1	chr1	7088920	7173628	+	6654	Pcmtd1	ENSMUSG00000051285.17	ENSMUSG00000051285
